Bild;1;Sonnig, wolkenloser Himmel
Stratocumulus cloud pictogram (1);2;Sonnig mit einigen Wolken
Bild;3;Wechselnd bewölkt
Stratocumulus cloud pictogram (2);4;Bedeckt
Bild;5;Nebel
Bild;6;Bedeckt mit Regen
Cumulus cloud pictogram (1);7;Wechselhaft, Schauer möglich
Cumulonimbus clouds pictogram (1);8;Schauer, Gewitter möglich
Bild;9;Bedeckt mit Schneefall
Bild;10;Wechselhaft mit Schneeschauern
Bild;11;Überwiegend bewölkt mit Schnee und Regen
Nimbostratus cloud pictogram (3);12;Bedeckt mit leichtem Regen
Bild;13;Bedeckt mit leichtem Schneefall
Bild;14;Überwiegend bewölkt mit Regen
Bild;15;Überwiegend bewölkt mit Schneefall
Bild;16;Überwiegend bewölkt mit leichtem Regen
Bild;17;Überwiegend bewölkt mit leichtem Schneefall
