id;lat;lon;x;y;tags
1;46.2131359;9.0180954;2721881.5124547696;1119191.2691043874;"{""amenity"": ""parking""}"
2;46.2065828;9.0278623;2722649.8480410664;1118478.1628720742;"{""amenity"": ""parking""}"
3;46.2066414;9.0278124;2722645.8655219246;1118484.5978059564;"{""amenity"": ""parking""}"
4;46.2064127;9.028125;2722670.5025479333;1118459.668294555;"{""amenity"": ""parking""}"
5;46.2063373;9.0282763;2722682.3475722345;1118451.5247565615;"{""amenity"": ""parking""}"
6;46.2062622;9.0283709;2722689.8166392315;1118443.325904874;"{""amenity"": ""parking""}"
7;46.2060281;9.0287246;2722717.6377141858;1118417.8606962373;"{""amenity"": ""parking""}"
8;46.2064166;9.0253651;2722457.523775225;1118455.789732962;"{""amenity"": ""parking""}"
9;46.2175481;8.7384802;2700298.522373973;1119285.722900197;"{""amenity"": ""parking""}"
10;46.2036784;8.7440697;2700755.4354224512;1117751.266944003;"{""amenity"": ""parking""}"
11;46.2103368;8.7452659;2700835.425310167;1118492.884883571;"{""amenity"": ""parking""}"
12;46.2099158;8.7453049;2700839.2141851285;1118446.1408754683;"{""amenity"": ""parking""}"
13;46.2175481;8.7384802;2700298.522373973;1119285.722900197;"{""amenity"": ""parking""}"
14;46.2036784;8.7440697;2700755.4354224512;1117751.266944003;"{""amenity"": ""parking""}"
15;46.2103368;8.7452659;2700835.425310167;1118492.884883571;"{""amenity"": ""parking""}"
16;46.2099158;8.7453049;2700839.2141851285;1118446.1408754683;"{""amenity"": ""parking""}"
17;46.1827044;8.7513058;2701352.8894081595;1115429.3273538204;"{""access"": ""yes"", ""amenity"": ""parking"", ""fee"": ""no"", ""name"": ""Tegna Sport"", ""parking"": ""surface""}"
18;46.1945543;8.7532385;2701480.0307339393;1116748.9411019909;"{""amenity"": ""parking""}"
19;46.1827044;8.7513058;2701352.8894081595;1115429.3273538204;"{""access"": ""yes"", ""amenity"": ""parking"", ""fee"": ""no"", ""name"": ""Tegna Sport"", ""parking"": ""surface""}"
20;46.1945543;8.7532385;2701480.0307339393;1116748.9411019909;"{""amenity"": ""parking""}"
21;46.9733677;8.3380511;2668439.2358791786;1202869.1674921145;"{""access"": ""yes"", ""amenity"": ""parking"", ""capacity"": ""4"", ""fee"": ""yes"", ""parking"": ""surface""}"
22;46.977469;8.3358556;2668266.9696345944;1203323.172162227;"{""access"": ""yes"", ""amenity"": ""parking"", ""fee"": ""yes"", ""layer"": ""-1"", ""name"": ""Bahnhof Stansstad"", ""name:de"": ""Bahnhof Stansstad"", ""park_ride"": ""yes"", ""parking"": ""underground"", ""supervised"": ""no"", ""surface"": ""asphalt""}"
23;46.9772498;8.3358748;2668268.709008269;1203298.8217130944;"{""amenity"": ""parking"", ""parking"": ""street_side""}"
24;46.1645681;8.7383607;2700386.8663206;1113396.8305226525;"{""access"": ""customers"", ""amenity"": ""parking"", ""parking"": ""surface""}"
25;46.16545;8.7370538;2700284.3114079363;1113493.1826791062;"{""access"": ""customers"", ""amenity"": ""parking"", ""parking"": ""surface"", ""surface"": ""pebblestone""}"
26;46.1538003;8.7424395;2700721.7653832682;1112205.2131053852;"{""amenity"": ""parking"", ""parking"": ""surface""}"
27;46.1549568;8.7410374;2700611.3251049775;1112331.9594657514;"{""amenity"": ""parking""}"
28;47.3809235;8.028462;2644542.003302144;1247954.9677141646;"{""amenity"": ""parking""}"
